,Year,LifeExpectancy,Status
0,2015,65.0,Developing
1,2014,59.9,Developing
2,2013,59.9,Developing
3,2012,59.5,Developing
4,2011,59.2,Developing
5,2010,58.8,Developing
6,2009,58.6,Developing
7,2008,58.1,Developing
8,2007,57.5,Developing
9,2006,57.3,Developing
10,2005,57.3,Developing
11,2004,57.0,Developing
12,2003,56.7,Developing
13,2002,56.2,Developing
14,2001,55.3,Developing
15,2000,54.8,Developing
16,2015,77.8,Developing
17,2014,77.5,Developing
18,2013,77.2,Developing
19,2012,76.9,Developing
20,2011,76.6,Developing
21,2010,76.2,Developing
22,2009,76.1,Developing
23,2008,75.3,Developing
24,2007,75.9,Developing
25,2006,74.2,Developing
26,2005,73.5,Developing
27,2004,73.0,Developing
28,2003,72.8,Developing
29,2002,73.3,Developing
30,2001,73.6,Developing
31,2000,72.6,Developing
32,2015,75.6,Developing
33,2014,75.4,Developing
34,2013,75.3,Developing
35,2012,75.1,Developing
36,2011,74.9,Developing
37,2010,74.7,Developing
38,2009,74.4,Developing
39,2008,74.1,Developing
40,2007,73.8,Developing
41,2006,73.4,Developing
42,2005,72.9,Developing
43,2004,72.3,Developing
44,2003,71.7,Developing
45,2002,71.6,Developing
46,2001,71.4,Developing
47,2000,71.3,Developing
48,2015,52.4,Developing
49,2014,51.7,Developing
50,2013,51.1,Developing
51,2012,56.0,Developing
52,2011,51.0,Developing
53,2010,49.6,Developing
54,2009,49.1,Developing
55,2008,48.7,Developing
56,2007,48.2,Developing
57,2006,47.7,Developing
58,2005,47.4,Developing
59,2004,47.1,Developing
60,2003,46.8,Developing
61,2002,46.5,Developing
62,2001,45.7,Developing
63,2000,45.3,Developing
64,2015,76.4,Developing
65,2014,76.2,Developing
66,2013,76.1,Developing
67,2012,75.9,Developing
68,2011,75.7,Developing
69,2010,75.6,Developing
70,2009,75.4,Developing
71,2008,75.2,Developing
72,2007,75.0,Developing
73,2006,74.8,Developing
74,2005,74.6,Developing
75,2004,74.4,Developing
76,2003,74.2,Developing
77,2002,74.0,Developing
78,2001,73.8,Developing
79,2000,73.6,Developing
80,2015,76.3,Developing
81,2014,76.2,Developing
82,2013,76.0,Developing
83,2012,75.9,Developing
84,2011,75.7,Developing
85,2010,75.5,Developing
86,2009,75.6,Developing
87,2008,75.4,Developing
88,2007,74.8,Developing
89,2006,75.2,Developing
90,2005,74.9,Developing
91,2004,74.7,Developing
92,2003,74.1,Developing
93,2002,74.1,Developing
94,2001,74.0,Developing
95,2000,74.1,Developing
96,2015,74.8,Developing
97,2014,74.6,Developing
98,2013,74.4,Developing
99,2012,74.4,Developing
100,2011,73.9,Developing
101,2010,73.5,Developing
102,2009,73.3,Developing
103,2008,73.2,Developing
104,2007,73.5,Developing
105,2006,72.9,Developing
106,2005,73.0,Developing
