Country,Group1,Group2,corr
Afghanistan,Population,Population,1.0
Afghanistan,Population,LifeExpectancy,0.4151674484308706
Afghanistan,Population,AdultMortality,-0.32102049860280274
Afghanistan,Population,InfantDeaths,-0.23249002892024093
Afghanistan,Population,DeathsUnder5,-0.24474043354965447
Afghanistan,Population,TotalExpenditure,-0.34867803688321347
Afghanistan,Population,GDP,0.2869678953919901
Afghanistan,Population,Schooling,0.15583453137980277
Afghanistan,Population,BodyMassIndex,0.2336960688587004
Afghanistan,Population,Alcohol,-0.05938927756166084
Afghanistan,Population,Hepatitis B,0.048906077786377934
Afghanistan,Population,Polio,-0.42950134271884316
Afghanistan,Population,ICOR index,0.15845017750130938
Afghanistan,LifeExpectancy,Population,0.4151674484308706
Afghanistan,LifeExpectancy,LifeExpectancy,1.0
Afghanistan,LifeExpectancy,AdultMortality,0.026751632204879982
Afghanistan,LifeExpectancy,InfantDeaths,-0.8887607010566542
Afghanistan,LifeExpectancy,DeathsUnder5,-0.8873102188431475
Afghanistan,LifeExpectancy,TotalExpenditure,0.10068315090530805
Afghanistan,LifeExpectancy,GDP,0.6797931005489531
Afghanistan,LifeExpectancy,Schooling,0.8414595448277166
Afghanistan,LifeExpectancy,BodyMassIndex,0.9023323030745589
Afghanistan,LifeExpectancy,Alcohol,-0.1831004422890423
Afghanistan,LifeExpectancy,Hepatitis B,0.24029289935972795
Afghanistan,LifeExpectancy,Polio,-0.010445348830936335
Afghanistan,LifeExpectancy,ICOR index,0.8569018994921824
Afghanistan,AdultMortality,Population,-0.32102049860280274
Afghanistan,AdultMortality,LifeExpectancy,0.026751632204879982
Afghanistan,AdultMortality,AdultMortality,1.0
Afghanistan,AdultMortality,InfantDeaths,-0.07956915113882262
Afghanistan,AdultMortality,DeathsUnder5,-0.0755851540566241
Afghanistan,AdultMortality,TotalExpenditure,0.14656311614474007
Afghanistan,AdultMortality,GDP,0.024764718777599625
Afghanistan,AdultMortality,Schooling,0.13491455726760523
Afghanistan,AdultMortality,BodyMassIndex,0.09372000607277617
Afghanistan,AdultMortality,Alcohol,0.20097813017818117
Afghanistan,AdultMortality,Hepatitis B,-0.0022911278135009064
Afghanistan,AdultMortality,Polio,0.08891558623410709
Afghanistan,AdultMortality,ICOR index,0.19431772829095162
Afghanistan,InfantDeaths,Population,-0.23249002892024093
Afghanistan,InfantDeaths,LifeExpectancy,-0.8887607010566542
Afghanistan,InfantDeaths,AdultMortality,-0.07956915113882262
Afghanistan,InfantDeaths,InfantDeaths,1.0
Afghanistan,InfantDeaths,DeathsUnder5,0.9993465272635772
Afghanistan,InfantDeaths,TotalExpenditure,-0.09019157816332218
Afghanistan,InfantDeaths,GDP,-0.7792368450956643
Afghanistan,InfantDeaths,Schooling,-0.9189530197762771
Afghanistan,InfantDeaths,BodyMassIndex,-0.9791839858677475
Afghanistan,InfantDeaths,Alcohol,0.33600743195289695
