,Country,Year,source,target,value,real deaths
0,Afghanistan,2000,All Causes,"Communicable, maternal, perinatal and nutritional conditions",11.964430072756672,148.0
1,Afghanistan,2000,All Causes,Noncommunicable diseases,6.4025869037995164,79.2
2,Afghanistan,2000,All Causes,Injuries,1.6329830234438159,20.2
3,Afghanistan,2000,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,5.680808080808081,70.3
4,Afghanistan,2000,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,2.004040404040404,24.8
5,Afghanistan,2000,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.686868686868687,8.5
6,Afghanistan,2000,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,3.482828282828283,43.1
7,Afghanistan,2000,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.10505050505050506,1.3
8,Afghanistan,2000,Noncommunicable diseases,Malignant neoplasms,0.6787878787878788,8.4
10,Afghanistan,2000,Noncommunicable diseases,Diabetes mellitus,0.1696969696969697,2.1
11,Afghanistan,2000,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.06464646464646466,0.8
13,Afghanistan,2000,Noncommunicable diseases,Neurological conditions,0.1696969696969697,2.1
14,Afghanistan,2000,Noncommunicable diseases,Cardiovascular diseases,3.6121212121212127,44.7
15,Afghanistan,2000,Noncommunicable diseases,Respiratory diseases,0.49292929292929294,6.1
16,Afghanistan,2000,Noncommunicable diseases,Digestive diseases,0.4444444444444445,5.5
17,Afghanistan,2000,Noncommunicable diseases,Genitourinary diseases,0.29090909090909095,3.6
20,Afghanistan,2000,Noncommunicable diseases,Congenital anomalies,0.4040404040404041,5.0
21,Afghanistan,2000,Noncommunicable diseases,Sudden infant death syndrome,0.048484848484848485,0.6
22,Afghanistan,2000,Injuries,Unintentional injuries,0.9131313131313132,11.3
23,Afghanistan,2000,Injuries,Intentional injuries,0.7272727272727273,9.0
24,Albania,2000,All Causes,"Communicable, maternal, perinatal and nutritional conditions",1.6326530612244898,1.6
25,Albania,2000,All Causes,Noncommunicable diseases,16.836734693877553,16.5
26,Albania,2000,All Causes,Injuries,1.5306122448979593,1.5
27,Albania,2000,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.20512820512820512,0.2
28,Albania,2000,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.8205128205128205,0.8
30,Albania,2000,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.5128205128205128,0.5
32,Albania,2000,Noncommunicable diseases,Malignant neoplasms,4.102564102564102,4.0
34,Albania,2000,Noncommunicable diseases,Diabetes mellitus,0.20512820512820512,0.2
35,Albania,2000,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.10256410256410256,0.1
37,Albania,2000,Noncommunicable diseases,Neurological conditions,0.923076923076923,0.9
38,Albania,2000,Noncommunicable diseases,Cardiovascular diseases,9.538461538461538,9.3
39,Albania,2000,Noncommunicable diseases,Respiratory diseases,0.923076923076923,0.9
40,Albania,2000,Noncommunicable diseases,Digestive diseases,0.5128205128205128,0.5
41,Albania,2000,Noncommunicable diseases,Genitourinary diseases,0.30769230769230765,0.3
44,Albania,2000,Noncommunicable diseases,Congenital anomalies,0.30769230769230765,0.3
46,Albania,2000,Injuries,Unintentional injuries,1.2307692307692306,1.2
47,Albania,2000,Injuries,Intentional injuries,0.30769230769230765,0.3
48,Algeria,2000,All Causes,"Communicable, maternal, perinatal and nutritional conditions",3.876080691642652,26.9
49,Algeria,2000,All Causes,Noncommunicable diseases,13.659942363112394,94.8
50,Algeria,2000,All Causes,Injuries,2.4639769452449576,17.1
