,Year,LifeExpectancy
0,2015,65.0
1,2014,59.9
2,2013,59.9
3,2012,59.5
4,2011,59.2
5,2010,58.8
6,2009,58.6
7,2008,58.1
8,2007,57.5
9,2006,57.3
10,2005,57.3
11,2004,57.0
12,2003,56.7
13,2002,56.2
14,2001,55.3
15,2000,54.8
16,2015,77.8
17,2014,77.5
18,2013,77.2
19,2012,76.9
20,2011,76.6
21,2010,76.2
22,2009,76.1
23,2008,75.3
24,2007,75.9
25,2006,74.2
26,2005,73.5
27,2004,73.0
28,2003,72.8
29,2002,73.3
30,2001,73.6
31,2000,72.6
32,2015,75.6
33,2014,75.4
34,2013,75.3
35,2012,75.1
36,2011,74.9
37,2010,74.7
38,2009,74.4
39,2008,74.1
40,2007,73.8
41,2006,73.4
42,2005,72.9
43,2004,72.3
44,2003,71.7
45,2002,71.6
46,2001,71.4
47,2000,71.3
48,2015,52.4
49,2014,51.7
50,2013,51.1
51,2012,56.0
52,2011,51.0
53,2010,49.6
54,2009,49.1
55,2008,48.7
56,2007,48.2
57,2006,47.7
58,2005,47.4
59,2004,47.1
60,2003,46.8
61,2002,46.5
62,2001,45.7
63,2000,45.3
64,2015,76.4
65,2014,76.2
66,2013,76.1
67,2012,75.9
68,2011,75.7
69,2010,75.6
70,2009,75.4
71,2008,75.2
72,2007,75.0
73,2006,74.8
74,2005,74.6
75,2004,74.4
76,2003,74.2
77,2002,74.0
78,2001,73.8
79,2000,73.6
80,2015,76.3
81,2014,76.2
82,2013,76.0
83,2012,75.9
84,2011,75.7
85,2010,75.5
86,2009,75.6
87,2008,75.4
88,2007,74.8
89,2006,75.2
90,2005,74.9
91,2004,74.7
92,2003,74.1
93,2002,74.1
94,2001,74.0
95,2000,74.1
96,2015,74.8
97,2014,74.6
98,2013,74.4
99,2012,74.4
100,2011,73.9
101,2010,73.5
102,2009,73.3
103,2008,73.2
104,2007,73.5
105,2006,72.9
106,2005,73.0
107,2004,73.0
108,2003,72.7
109,2002,72.6
110,2001,72.6
111,2000,72.0
112,2015,82.8
113,2014,82.7
114,2013,82.5
115,2012,82.3
116,2011,82.0
117,2010,81.9
118,2009,81.7
119,2008,81.3
120,2007,81.3
121,2006,81.2
122,2005,81.0
123,2004,86.0
124,2003,83.0
125,2002,79.9
126,2001,79.9
127,2000,79.5
128,2015,81.5
129,2014,81.4
130,2013,81.1
131,2012,88.0
132,2011,88.0
133,2010,84.0
134,2009,82.0
135,2008,84.0
136,2007,81.0
137,2006,79.8
138,2005,79.4
139,2004,79.3
140,2003,78.8
141,2002,78.7
142,2001,78.6
143,2000,78.1
144,2015,72.7
145,2014,72.5
146,2013,72.2
147,2012,71.9
148,2011,71.6
149,2010,71.1
150,2009,78.0
151,2008,73.0
152,2007,73.0
153,2006,69.2
154,2005,68.4
155,2004,68.4
156,2003,67.8
157,2002,67.8
158,2001,67.5
159,2000,66.6
160,2015,76.1
161,2014,75.4
162,2013,74.8
163,2012,74.9
164,2011,75.0
165,2010,75.0
166,2009,74.6
167,2008,74.5
168,2007,74.4
169,2006,74.2
170,2005,74.1
171,2004,73.8
172,2003,73.2
173,2002,73.1
174,2001,72.9
175,2000,72.6
176,2015,76.9
177,2014,76.8
178,2013,76.7
179,2012,76.5
180,2011,76.1
181,2010,76.1
182,2009,76.0
183,2008,75.8
184,2007,75.6
185,2006,75.5
186,2005,75.3
187,2004,75.2
188,2003,75.0
189,2002,74.9
190,2001,74.7
191,2000,74.5
192,2015,71.8
193,2014,71.4
194,2013,71.0
195,2012,77.0
196,2011,73.0
197,2010,69.9
198,2009,69.5
199,2008,69.1
200,2007,68.6
201,2006,68.2
202,2005,67.8
203,2004,67.3
204,2003,66.8
205,2002,66.3
206,2001,65.8
207,2000,65.3
208,2015,75.5
209,2014,75.4
210,2013,75.2
211,2012,75.1
212,2011,74.9
213,2010,74.7
214,2009,74.6
215,2008,74.4
216,2007,74.2
217,2006,74.1
218,2005,73.9
219,2004,73.8
220,2003,73.7
221,2002,73.5
222,2001,73.4
223,2000,73.3
224,2015,72.3
225,2014,72.0
226,2013,71.7
227,2012,71.9
228,2011,72.0
229,2010,73.0
230,2009,70.0
231,2008,70.0
232,2007,69.8
233,2006,68.9
234,2005,68.1
235,2004,68.2
236,2003,67.7
237,2002,67.2
238,2001,67.7
239,2000,68.0
240,2015,81.1
241,2014,89.0
242,2013,87.0
243,2012,83.0
244,2011,83.0
245,2010,80.0
