,Country,Year,source,target,value
0,Afghanistan,2000,All Causes,"Communicable, maternal, perinatal and nutritional conditions",148.0
1,Afghanistan,2000,All Causes,Noncommunicable diseases,79.2
2,Afghanistan,2000,All Causes,Injuries,20.2
4,Afghanistan,2000,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,70.3
5,Afghanistan,2000,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,24.8
6,Afghanistan,2000,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,8.5
7,Afghanistan,2000,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,43.1
8,Afghanistan,2000,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,1.3
10,Afghanistan,2000,Noncommunicable diseases,Malignant neoplasms,8.4
11,Afghanistan,2000,Noncommunicable diseases,Other neoplasms,0.0
12,Afghanistan,2000,Noncommunicable diseases,Diabetes mellitus,2.1
13,Afghanistan,2000,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.8
14,Afghanistan,2000,Noncommunicable diseases,Mental and substance use disorders,0.2
15,Afghanistan,2000,Noncommunicable diseases,Neurological conditions,2.1
16,Afghanistan,2000,Noncommunicable diseases,Sense organ diseases,0.0
17,Afghanistan,2000,Noncommunicable diseases,Cardiovascular diseases,44.7
18,Afghanistan,2000,Noncommunicable diseases,Respiratory diseases,6.1
19,Afghanistan,2000,Noncommunicable diseases,Digestive diseases,5.5
20,Afghanistan,2000,Noncommunicable diseases,Genitourinary diseases,3.6
21,Afghanistan,2000,Noncommunicable diseases,Skin diseases,0.0
22,Afghanistan,2000,Noncommunicable diseases,Musculoskeletal diseases,0.1
23,Afghanistan,2000,Noncommunicable diseases,Congenital anomalies,5.0
24,Afghanistan,2000,Noncommunicable diseases,Oral conditions,0.0
25,Albania,2000,All Causes,"Communicable, maternal, perinatal and nutritional conditions",1.6
26,Albania,2000,All Causes,Noncommunicable diseases,16.5
27,Albania,2000,All Causes,Injuries,1.5
29,Albania,2000,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.2
30,Albania,2000,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.8
31,Albania,2000,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
32,Albania,2000,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.5
33,Albania,2000,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.0
35,Albania,2000,Noncommunicable diseases,Malignant neoplasms,4.0
36,Albania,2000,Noncommunicable diseases,Other neoplasms,0.0
37,Albania,2000,Noncommunicable diseases,Diabetes mellitus,0.2
38,Albania,2000,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.1
39,Albania,2000,Noncommunicable diseases,Mental and substance use disorders,0.0
40,Albania,2000,Noncommunicable diseases,Neurological conditions,0.9
41,Albania,2000,Noncommunicable diseases,Sense organ diseases,0.0
42,Albania,2000,Noncommunicable diseases,Cardiovascular diseases,9.3
43,Albania,2000,Noncommunicable diseases,Respiratory diseases,0.9
44,Albania,2000,Noncommunicable diseases,Digestive diseases,0.5
45,Albania,2000,Noncommunicable diseases,Genitourinary diseases,0.3
46,Albania,2000,Noncommunicable diseases,Skin diseases,0.0
47,Albania,2000,Noncommunicable diseases,Musculoskeletal diseases,0.0
48,Albania,2000,Noncommunicable diseases,Congenital anomalies,0.3
49,Albania,2000,Noncommunicable diseases,Oral conditions,0.0
50,Algeria,2000,All Causes,"Communicable, maternal, perinatal and nutritional conditions",26.9
51,Algeria,2000,All Causes,Noncommunicable diseases,94.8
52,Algeria,2000,All Causes,Injuries,17.1
54,Algeria,2000,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,8.1
55,Algeria,2000,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,6.9
56,Algeria,2000,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.8
57,Algeria,2000,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,10.9
58,Algeria,2000,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.2
60,Algeria,2000,Noncommunicable diseases,Malignant neoplasms,15.4
61,Algeria,2000,Noncommunicable diseases,Other neoplasms,0.0
62,Algeria,2000,Noncommunicable diseases,Diabetes mellitus,1.7
63,Algeria,2000,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.6
64,Algeria,2000,Noncommunicable diseases,Mental and substance use disorders,0.6
65,Algeria,2000,Noncommunicable diseases,Neurological conditions,3.3
66,Algeria,2000,Noncommunicable diseases,Sense organ diseases,0.0
67,Algeria,2000,Noncommunicable diseases,Cardiovascular diseases,57.0
68,Algeria,2000,Noncommunicable diseases,Respiratory diseases,4.5
69,Algeria,2000,Noncommunicable diseases,Digestive diseases,3.9
70,Algeria,2000,Noncommunicable diseases,Genitourinary diseases,3.7
71,Algeria,2000,Noncommunicable diseases,Skin diseases,0.0
72,Algeria,2000,Noncommunicable diseases,Musculoskeletal diseases,0.1
73,Algeria,2000,Noncommunicable diseases,Congenital anomalies,3.4
74,Algeria,2000,Noncommunicable diseases,Oral conditions,0.0
75,Angola,2000,All Causes,"Communicable, maternal, perinatal and nutritional conditions",192.7
76,Angola,2000,All Causes,Noncommunicable diseases,53.5
77,Angola,2000,All Causes,Injuries,18.4
79,Angola,2000,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,107.3
80,Angola,2000,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,40.0
81,Angola,2000,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,4.1
82,Angola,2000,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,34.0
83,Angola,2000,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,7.3
85,Angola,2000,Noncommunicable diseases,Malignant neoplasms,5.7
86,Angola,2000,Noncommunicable diseases,Other neoplasms,0.0
87,Angola,2000,Noncommunicable diseases,Diabetes mellitus,2.7
88,Angola,2000,Noncommunicable diseases,"Endocrine, blood, immune disorders",1.0
89,Angola,2000,Noncommunicable diseases,Mental and substance use disorders,0.4
90,Angola,2000,Noncommunicable diseases,Neurological conditions,1.5
91,Angola,2000,Noncommunicable diseases,Sense organ diseases,0.0
92,Angola,2000,Noncommunicable diseases,Cardiovascular diseases,20.6
93,Angola,2000,Noncommunicable diseases,Respiratory diseases,4.6
94,Angola,2000,Noncommunicable diseases,Digestive diseases,7.2
95,Angola,2000,Noncommunicable diseases,Genitourinary diseases,2.5
96,Angola,2000,Noncommunicable diseases,Skin diseases,0.1
97,Angola,2000,Noncommunicable diseases,Musculoskeletal diseases,0.1
98,Angola,2000,Noncommunicable diseases,Congenital anomalies,6.5
99,Angola,2000,Noncommunicable diseases,Oral conditions,0.0
100,Antigua and Barbuda,2000,All Causes,"Communicable, maternal, perinatal and nutritional conditions",0.1
101,Antigua and Barbuda,2000,All Causes,Noncommunicable diseases,0.3
102,Antigua and Barbuda,2000,All Causes,Injuries,0.0
104,Antigua and Barbuda,2000,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.0
105,Antigua and Barbuda,2000,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.0
106,Antigua and Barbuda,2000,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
107,Antigua and Barbuda,2000,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.0
108,Antigua and Barbuda,2000,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.0
110,Antigua and Barbuda,2000,Noncommunicable diseases,Malignant neoplasms,0.1
111,Antigua and Barbuda,2000,Noncommunicable diseases,Other neoplasms,0.0
112,Antigua and Barbuda,2000,Noncommunicable diseases,Diabetes mellitus,0.0
113,Antigua and Barbuda,2000,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.0
114,Antigua and Barbuda,2000,Noncommunicable diseases,Mental and substance use disorders,0.0
115,Antigua and Barbuda,2000,Noncommunicable diseases,Neurological conditions,0.0
116,Antigua and Barbuda,2000,Noncommunicable diseases,Sense organ diseases,0.0
117,Antigua and Barbuda,2000,Noncommunicable diseases,Cardiovascular diseases,0.1
118,Antigua and Barbuda,2000,Noncommunicable diseases,Respiratory diseases,0.0
119,Antigua and Barbuda,2000,Noncommunicable diseases,Digestive diseases,0.0
120,Antigua and Barbuda,2000,Noncommunicable diseases,Genitourinary diseases,0.0
121,Antigua and Barbuda,2000,Noncommunicable diseases,Skin diseases,0.0
122,Antigua and Barbuda,2000,Noncommunicable diseases,Musculoskeletal diseases,0.0
123,Antigua and Barbuda,2000,Noncommunicable diseases,Congenital anomalies,0.0
124,Antigua and Barbuda,2000,Noncommunicable diseases,Oral conditions,0.0
125,Argentina,2000,All Causes,"Communicable, maternal, perinatal and nutritional conditions",34.0
126,Argentina,2000,All Causes,Noncommunicable diseases,223.7
127,Argentina,2000,All Causes,Injuries,19.4
