,Zimbabwe,source,target,value
0,Afghanistan,All Causes,"Communicable, maternal, perinatal and nutritional conditions",39.400000000000006
1,Afghanistan,All Causes,Noncommunicable diseases,-29.39999999999999
3,Afghanistan,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,60.45454545454545
4,Afghanistan,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,14.954545454545455
5,Afghanistan,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,-1.3454545454545457
6,Afghanistan,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,33.25454545454546
7,Afghanistan,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,-8.545454545454545
9,Afghanistan,Noncommunicable diseases,Malignant neoplasms,-1.4454545454545453
10,Afghanistan,Noncommunicable diseases,Other neoplasms,-9.845454545454546
11,Afghanistan,Noncommunicable diseases,Diabetes mellitus,-7.745454545454546
12,Afghanistan,Noncommunicable diseases,"Endocrine, blood, immune disorders",-9.045454545454545
13,Afghanistan,Noncommunicable diseases,Mental and substance use disorders,-9.645454545454546
14,Afghanistan,Noncommunicable diseases,Neurological conditions,-7.745454545454546
15,Afghanistan,Noncommunicable diseases,Sense organ diseases,-9.845454545454546
16,Afghanistan,Noncommunicable diseases,Cardiovascular diseases,34.85454545454546
17,Afghanistan,Noncommunicable diseases,Respiratory diseases,-3.745454545454546
18,Afghanistan,Noncommunicable diseases,Digestive diseases,-4.345454545454546
19,Afghanistan,Noncommunicable diseases,Genitourinary diseases,-6.245454545454546
20,Afghanistan,Noncommunicable diseases,Skin diseases,-9.845454545454546
21,Afghanistan,Noncommunicable diseases,Musculoskeletal diseases,-9.745454545454546
22,Afghanistan,Noncommunicable diseases,Congenital anomalies,-4.845454545454546
23,Afghanistan,Noncommunicable diseases,Oral conditions,-9.845454545454546
24,Albania,All Causes,"Communicable, maternal, perinatal and nutritional conditions",-2.4500000000000006
25,Albania,All Causes,Noncommunicable diseases,12.45
27,Albania,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,-0.16363636363636364
28,Albania,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.4363636363636364
29,Albania,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,-0.36363636363636365
30,Albania,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.13636363636363635
31,Albania,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,-0.36363636363636365
33,Albania,Noncommunicable diseases,Malignant neoplasms,3.6363636363636362
34,Albania,Noncommunicable diseases,Other neoplasms,-0.36363636363636365
35,Albania,Noncommunicable diseases,Diabetes mellitus,-0.16363636363636364
36,Albania,Noncommunicable diseases,"Endocrine, blood, immune disorders",-0.26363636363636367
37,Albania,Noncommunicable diseases,Mental and substance use disorders,-0.36363636363636365
38,Albania,Noncommunicable diseases,Neurological conditions,0.5363636363636364
39,Albania,Noncommunicable diseases,Sense organ diseases,-0.36363636363636365
40,Albania,Noncommunicable diseases,Cardiovascular diseases,8.936363636363637
41,Albania,Noncommunicable diseases,Respiratory diseases,0.5363636363636364
42,Albania,Noncommunicable diseases,Digestive diseases,0.13636363636363635
43,Albania,Noncommunicable diseases,Genitourinary diseases,-0.06363636363636366
44,Albania,Noncommunicable diseases,Skin diseases,-0.36363636363636365
45,Albania,Noncommunicable diseases,Musculoskeletal diseases,-0.36363636363636365
46,Albania,Noncommunicable diseases,Congenital anomalies,-0.06363636363636366
