Country,Year,65-69 years,70-74 years,85+ years,80-84 years,75-79 years,60-64 years,45-49 years,55-59 years,15-19  years,10-14 years,5-9 years,30-34 years,35-39 years,<1 year,50-54 years,20-24 years,40-44 years,1-4 years,25-29 years
Democratic Republic of the Congo,2019,10008,11977,13513,11759,12517,8213,3219,6082,588.2,889,1142,1228,1652,6636,4520,839.4,2371,1864,983.1
Zimbabwe,2019,9828,10905,10017,9612,10999,8823,5426,7684,847.6,623.4,487.5,2093,3010,4186,6815,1238,4283,1616,1505
Timor-Leste,2019,10020,13151,19055,15329,15281,7302,2136,4892,382,338.2,466.1,701.7,960.1,3547,3300,520.5,1417,628.5,571.7
Samoa,2019,10028,12360,19434,14302,14151,7986,3060,5962,420.3,168.3,178.9,1137,1500,1018,4323,745,2126,186.1,913.8
Lithuania,2019,7964,10034,34375,15502,12181,5885,2086,4050,212.8,80.08,60.01,780.6,1164,351.1,2913,275.9,1543,64.41,477.7
Nepal,2019,10055,13261,19579,15980,15792,7224,2090,4845,389.6,221.2,291.3,641.6,897.8,2571,3253,507.2,1354,520,528.6
Gabon,2019,10068,12301,15868,12942,13461,7990,3467,6062,528,648.2,506.6,1252,1781,3085,4703,751.2,2529,1139,918
Lao People's Democratic Republic,2019,10104,12813,17977,14547,14549,7746,2449,5349,445.6,437.5,332.8,863.9,1153,3570,3717,632,1698,915.6,700
Guinea-Bissau,2019,10224,11455,10110,9847,11365,8991,4598,7333,769.2,441.7,958.9,1741,2493,5317,5875,1028,3526,2649,1279
Micronesia (Federated States of),2019,11383,12253,8465,10141,11969,10161,5080,8509,603.8,262.7,325.5,2023,2692,2447,6631,1214,3779,493.9,1566
Mozambique,2019,9036,10143,9906,8992,10181,8022,5279,6819,1135,667,742.9,3177,3980,5455,5977,1593,4703,1925,2268
Bangladesh,2019,7803,10145,31995,17034,12463,5619,1538,3701,317.1,321.9,345.8,466.1,628.2,2545,2819,358,968.8,516.7,415.7
Saint Lucia,2019,7174,10154,32827,15989,12670,5424,2006,3750,319.5,141,164,835,974.4,1987,2678,555.3,1419,227.4,706.6
Canada,2019,4618,6942,53024,15013,10167,3251,869.2,2113,153.6,53.27,36.3,391.8,427.7,411.9,1315,249.3,566.5,59.03,338.3
Tunisia,2019,6916,10183,35128,18603,14203,4518,1133,2880,205.7,159.9,157.6,453.7,549.2,1511,1712,319.1,768.3,233.2,365.1
Cambodia,2019,10186,13202,18510,15081,15207,7488,2550,5390,452.6,171.8,286.6,809.4,1141,2350,3813,617.1,1703,380.3,661
Botswana,2019,9399,10806,11760,10188,11204,8191,5588,7208,760,220.8,340.5,2410,3427,3304,6700,1236,4668,949.2,1641
Gambia,2019,10190,12407,14691,12622,13425,8150,3530,6043,508.9,434,545.1,1341,1944,3614,4600,726.9,2683,1601,944.5
Latvia,2019,8346,10230,32422,15203,12243,6252,2219,4719,225.1,68.82,69.62,823.7,1021,228.8,3414,364,1639,50.59,460.9
Armenia,2019,8936,10240,31801,13548,18310,5259,1514,3812,187.4,93.23,99.08,348.7,538.5,1085,2535,237.8,1051,129.7,273
Estonia,2019,6991,10259,41745,14673,11094,4874,1449,3449,173.5,62.49,49.86,406,530.5,191.8,2498,242,952.1,51.84,307.1
Russian Federation,2019,8520,10285,27732,14479,12969,6799,2892,5019,283.5,110.1,83.12,1160,1803,496.7,3719,467.1,2430,82.28,670.1
Indonesia,2019,10305,13398,19779,15790,15768,7368,2116,4951,387.2,196.8,310.2,625.6,886,2087,3303,497.5,1353,360.5,517
Sao Tome and Principe,2019,10318,13548,18819,15322,15537,7502,2236,5114,390.5,289.4,296,659.6,944.7,2410,3461,511.8,1444,656.6,539.9
Libya,2019,8075,10320,34845,13758,13718,5654,1754,3515,394.6,231.8,178.4,719.3,901.6,1027,2385,581.7,1179,166,596.8
Saint Vincent and the Grenadines,2019,7237,10326,30834,14675,11769,5782,2554,4654,569.2,322.3,156.8,1224,1001,1395,3398,681.9,2363,121.9,935.7
Congo,2019,10363,12227,13366,11901,13057,8485,3982,6629,670.3,352.9,396.5,1483,2099,3571,5178,861,2956,1300,1121
Burundi,2019,10364,12264,13421,11847,12657,8649,3438,6471,665.4,911.2,1114,1299,1737,4110,4846,922.3,2538,1694,1052
Madagascar,2019,10389,12587,14545,12591,13309,8417,3188,6156,550.1,709.9,1029,1237,1657,3591,4511,807.6,2355,1390,982.4
Türkiye,2019,6698,10421,38379,17091,14385,4411,1019,2783,165.1,103.8,87.08,261.7,381.1,868.6,1764,201.3,622.9,138,220.4
Somalia,2019,10503,11218,7603,8414,10438,9445,4403,7697,843.3,754.1,1483,1659,2256,7342,5948,1155,3253,4255,1329
Philippines,2019,10458,11571,21525,16487,13713,7113,2364,4697,340.3,191.8,198.7,928.1,1105,2336,3521,498.4,1743,563.9,645.7
Hungary,2019,8957,10469,31543,16426,13373,7171,1531,4983,125.6,55.1,40.11,327.2,516,284.6,2866,191.3,839.8,63.62,237.9
Belgium,2019,5428,7570,50250,15595,10501,3813,902.4,2440,102.6,41.26,38.54,270.2,370.3,277.3,1376,174.6,577.8,65.16,206.6
Kiribati,2019,11215,11604,5878,8228,10628,10529,5762,9169,805.3,365.6,520.8,2241,3039,4105,7348,1410,4258,1122,1773
Papua New Guinea,2019,10534,12516,13670,12127,13072,8703,3721,6592,596.5,339.4,467.7,1434,1993,3597,5009,857.7,2801,897.4,1073
Grenada,2019,10538,12788,23900,15327,14510,7069,1963,4644,302.8,197.9,175.7,740.9,1027,1487,2926,429.4,1311,185.3,477.6
Singapore,2019,4320,6635,53997,15766,10541,2954,752.6,1885,107.6,37.83,30.73,312.6,355.6,180.4,1180,176.2,494.1,51.42,222.5
Romania,2019,8083,10550,30007,16736,13787,6836,1934,4961,199.7,88.79,74.93,423.1,648.7,544.1,3214,239.5,1185,132.4,355.8
Uruguay,2019,7450,10561,35503,15784,13357,5416,1453,3484,333.5,82.45,57.07,614.4,815.9,540.2,2206,589.3,1065,127.4,560.9
Norway,2019,4582,6800,53447,16529,10580,2831,637.5,1787,101.6,37.37,29.07,246.4,290.1,200.1,1118,144.4,406.4,44.54,187.5
Dominican Republic,2019,7447,10596,31444,14262,11426,6321,2220,4113,364.1,140.7,138.3,1017,1254,2380,3283,690.4,1631,469.7,802
Austria,2019,5390,7776,51225,15282,10659,3397,844.9,2117,132.4,48.83,36.96,262.3,323.2,298.1,1264,176.4,494.1,73.99,198.9
Argentina,2019,7686,10660,34851,16416,13129,5418,1474,3538,324.7,102.4,79.65,534.3,730.7,825.6,2229,478.3,951.8,102.1,470.1
Republic of Korea,2019,3591,5751,55094,16342,10687,2470,865.1,1859,116.9,39.84,37.71,265.1,398.5,303.9,1241,168.3,519.1,45.57,205.1
Solomon Islands,2019,11142,12540,10692,11563,12887,9665,4592,7843,590.4,200.3,226.5,1793,2366,1696,6083,1101,3325,285.9,1407
Malta,2019,4675,6831,51662,16909,10695,3034,712.2,1969,107.8,36.29,25.7,217.2,357.9,653.6,1312,165.1,407.1,92.71,136.9
Cuba,2019,7627,10697,36795,15666,13366,5249,1324,3692,192.8,106.6,91.48,426.1,642.1,411.1,2090,254,897.2,130.4,341
New Zealand,2019,4311,6577,52062,16383,10704,3011,921.5,2054,179.3,54.95,39.67,297.8,398.6,398.8,1432,253,563.6,79.19,278.9
Mauritius,2019,8340,10730,29817,14920,13648,6100,2319,4315,295.1,107.9,88.05,761.8,1125,1315,3244,478.3,1598,198.5,599.4
Bulgaria,2019,8616,10748,28543,17195,13836,6744,1998,4985,220.1,91.52,77.64,474.4,728.4,552.7,3268,269,1192,113,347.8
Portugal,2019,4746,6878,50622,16107,10749,3576,1044,2513,100.6,41.84,36,231.7,334.3,307.3,1700,147.5,606.2,63.27,196
Equatorial Guinea,2019,8448,10751,15196,12281,12302,6653,3957,5206,581.3,593.7,902.4,2005,2805,6164,4460,825.9,3436,2147,1285
Greece,2019,5249,8077,49034,15602,10752,3982,934.5,2616,118.2,45.46,41.9,241.2,375.4,324.8,1644,189.2,538.4,44.9,190
Antigua and Barbuda,2019,7503,10756,31173,18902,14450,5790,1372,3718,227.8,96.11,68.32,494.6,706.2,585.3,2278,425.1,874.5,80.39,500
Kyrgyzstan,2019,8874,10756,24741,18815,16714,5335,1894,3914,269.3,163.5,129.4,509.1,960.8,1766,2509,343.3,1686,192.3,428.9
Barbados,2019,7371,10763,33086,16619,14336,5341,1574,3475,304.9,116.9,54.55,689.9,807.3,1124,2227,417.4,1079,92.26,521.4
Sweden,2019,4506,6974,53057,16558,10789,2876,628.3,1677,108.2,40.38,30.31,295.8,311.4,203.8,1012,202.6,410.8,48.1,272.2
Afghanistan,2019,11515,13017,9970,10799,12938,9677,3913,7464,617.2,173.2,216.6,1402,1936,4625,5511,930.3,2794,1365,1138
Eritrea,2019,11142,12577,10823,10961,12737,9599,4293,7584,686.7,369.5,350.4,1535,2155,2999,5808,996,3113,1065,1205
Seychelles,2019,8898,10850,25629,15978,15535,6388,2356,4462,281.7,131.5,118.5,842.8,1028,1216,3252,549,1668,198.3,617.7
Oman,2019,10879,15290,16756,20801,19555,5956,1161,3338,388.1,125.4,126.7,441.5,532.9,888.6,1959,526.3,724.3,161.8,389.6
China,2019,6722,10884,33488,19784,15152,4412,1188,2845,177.9,96.14,91.72,416.6,605.5,676.4,1862,277.8,905.9,113.7,300.9
Israel,2019,4396,6651,53660,15731,10897,2987,694,1939,123.9,42.72,30.85,228.6,328.5,296.7,1153,154,422.2,74.94,190.3
Jamaica,2019,7614,10903,33779,15103,13672,5383,1801,3688,185.9,149,122.8,698.7,915.4,1206,2515,342.8,1244,192.3,484.4
Finland,2019,5104,7279,50497,16114,10907,3523,846.8,2112,146.8,39.4,32.65,324.5,382.1,202.2,1380,234.5,541.5,42.35,291.8
Zambia,2019,9602,11211,12955,10935,11724,8244,4467,6763,741.1,389.8,650.2,1857,2580,4361,5670,1059,3542,1914,1336
Germany,2019,5871,8285,47540,16098,10936,4171,922.5,2584,112.9,41.12,38.4,249.9,366.6,302.2,1548,149.6,558.6,56.03,168.6
Kazakhstan,2019,9464,10946,26940,16186,14898,6304,2201,4138,279.8,140.3,131.6,711.7,1164,959.2,2877,391.2,1679,112,477.7
Luxembourg,2019,5596,7872,52147,15100,10949,3109,852.4,1740,103.5,19.37,18.44,117.2,280.7,220.4,1190,91.07,405.1,47.18,142.5
Panama,2019,5323,7992,47040,14324,10961,3649,1231,2486,409,160.7,132.7,588.9,660,1282,1710,460.6,782.2,203.3,605.3
Chad,2019,9493,11676,12396,10988,11982,7766,3264,5763,655.3,925.6,1344,1405,1864,6992,4473,873,2547,4502,1092
Burkina Faso,2019,9856,12317,13895,11852,12907,7949,3024,5819,655.9,594.9,1003,1239,1608,5439,4354,872.2,2239,3352,1022
Tajikistan,2019,12409,16470,11409,15848,18437,7897,1901,4869,257,80.56,61.37,738.1,1005,3006,2852,426.3,1363,420,550.5
Yemen,2019,9609,12355,17736,13895,13936,7362,2459,5058,654.2,604,595.4,1123,1337,4399,3585,1006,1805,1462,1018
