,source,target,value
0,All Causes,"Communicable, maternal, perinatal and nutritional conditions",34.0
1,All Causes,Noncommunicable diseases,223.7
2,All Causes,Injuries,19.4
5,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,14.4
7,Infectious and parasitic diseases,Tuberculosis,0.9
8,Infectious and parasitic diseases,STDs excluding HIV,0.0
9,Infectious and parasitic diseases,HIV/AIDS,1.6
10,Infectious and parasitic diseases,Diarrhoeal diseases,0.5
11,Infectious and parasitic diseases,Childhood-cluster diseases,0.0
12,Infectious and parasitic diseases,Meningitis,0.5
13,Infectious and parasitic diseases,Encephalitis,0.0
14,Infectious and parasitic diseases,Hepatitis,1.4
15,Infectious and parasitic diseases,Parasitic and vector diseases,2.8
16,Infectious and parasitic diseases,Intestinal nematode infections,0.0
17,Infectious and parasitic diseases,Leprosy,0.0
18,Infectious and parasitic diseases,Other infectious diseases,6.5
19,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,11.3
21,Respiratory Infectious ,Lower respiratory infections,11.2
22,Respiratory Infectious ,Upper respiratory infections,0.0
23,Respiratory Infectious ,Otitis media,0.0
24,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.5
26,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,5.8
28,Neonatal conditions,Preterm birth complications,3.7
29,Neonatal conditions,Birth asphyxia and birth trauma,0.8
30,Neonatal conditions,Neonatal sepsis and infections,0.8
31,Neonatal conditions,Other neonatal conditions,0.6
32,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,2.1
34,Nutritional deficiencies,Protein-energy malnutrition,1.5
35,Nutritional deficiencies,Iodine deficiency,0.0
36,Nutritional deficiencies,Vitamin A deficiency,0.0
37,Nutritional deficiencies,Iron-deficiency anaemia,0.4
38,Nutritional deficiencies,Other nutritional deficiencies,0.1
40,Noncommunicable diseases,Malignant neoplasms,57.3
42,Malignant neoplasms,Mouth and oropharynx cancers,1.0
43,Malignant neoplasms,Oesophagus cancer,2.4
44,Malignant neoplasms,Stomach cancer,3.5
45,Malignant neoplasms,Colon and rectum cancers,6.7
46,Malignant neoplasms,Liver cancer,2.0
47,Malignant neoplasms,Pancreas cancer,3.4
48,Malignant neoplasms,"Trachea, bronchus, lung cancers",9.0
49,Malignant neoplasms,Melanoma and other skin cancers,0.7
50,Malignant neoplasms,Breast cancer,5.9
51,Malignant neoplasms,Cervix uteri cancer,1.8
52,Malignant neoplasms,Corpus uteri cancer,1.0
53,Malignant neoplasms,Ovary cancer,1.1
54,Malignant neoplasms,Prostate cancer,4.2
55,Malignant neoplasms,Testicular cancer,0.2
56,Malignant neoplasms,Kidney cancer,1.5
57,Malignant neoplasms,Bladder cancer,1.5
58,Malignant neoplasms,Brain and nervous system cancers,1.1
59,Malignant neoplasms,Gallbladder and biliary tract cancer,1.5
60,Malignant neoplasms,Larynx cancer,1.1
61,Malignant neoplasms,Thyroid cancer,0.2
62,Malignant neoplasms,Mesothelioma,0.1
63,Malignant neoplasms,"Lymphomas, multiple myeloma",2.5
64,Malignant neoplasms,Leukaemia,2.0
65,Malignant neoplasms,Other malignant neoplasms,3.0
66,Noncommunicable diseases,Other neoplasms,2.3
68,Noncommunicable diseases,Diabetes mellitus,6.8
70,Noncommunicable diseases,"Endocrine, blood, immune disorders",2.7
72,"Endocrine, blood, immune disorders",Thalassaemias,0.0
73,"Endocrine, blood, immune disorders",Sickle cell disorders and trait,0.0
74,"Endocrine, blood, immune disorders",Other haemoglobinopathies and haemolytic anaemias,0.9
75,"Endocrine, blood, immune disorders","Other endocrine, blood and immune disorders",1.8
76,Noncommunicable diseases,Mental and substance use disorders,1.4
78,Mental and substance use disorders,Depressive disorders,0.0
79,Mental and substance use disorders,Bipolar disorder,0.0
80,Mental and substance use disorders,Schizophrenia,0.0
81,Mental and substance use disorders,Alcohol use disorders,0.8
82,Mental and substance use disorders,Drug use disorders,0.6
83,Mental and substance use disorders,Anxiety disorders,0.0
84,Mental and substance use disorders,Eating disorders,0.0
85,Mental and substance use disorders,Autism and Asperger syndrome,0.0
86,Mental and substance use disorders,Childhood behavioural disorders,0.0
87,Mental and substance use disorders,Idiopathic intellectual disability,0.0
88,Mental and substance use disorders,Other mental and behavioural disorders,0.0
89,Noncommunicable diseases,Neurological conditions,4.8
91,Neurological conditions,Alzheimer disease and other dementias,2.3
92,Neurological conditions,Parkinson disease,0.7
93,Neurological conditions,Epilepsy,0.2
94,Neurological conditions,Multiple sclerosis,0.1
95,Neurological conditions,Migraine,0.0
96,Neurological conditions,Non-migraine headache,0.0
97,Neurological conditions,Other neurological conditions,1.4
98,Noncommunicable diseases,Sense organ diseases,0.0
100,Noncommunicable diseases,Cardiovascular diseases,90.0
102,Cardiovascular diseases,Rheumatic heart disease,0.3
103,Cardiovascular diseases,Hypertensive heart disease,2.1
104,Cardiovascular diseases,Ischaemic heart disease,52.0
105,Cardiovascular diseases,Stroke,25.2
106,Cardiovascular diseases,"Cardiomyopathy, myocarditis, endocarditis",3.5
107,Cardiovascular diseases,Other circulatory diseases,6.9
108,Noncommunicable diseases,Respiratory diseases,30.8
110,Respiratory diseases,Chronic obstructive pulmonary disease,20.1
111,Respiratory diseases,Asthma,0.7
112,Respiratory diseases,Other respiratory diseases,10.0
113,Noncommunicable diseases,Digestive diseases,11.8
115,Digestive diseases,Peptic ulcer disease,0.4
116,Digestive diseases,Cirrhosis of the liver,2.6
117,Digestive diseases,Appendicitis,0.0
118,Digestive diseases,Gastritis and duodenitis,0.1
119,Digestive diseases,Paralytic ileus and intestinal obstruction,1.0
120,Digestive diseases,Inflammatory bowel disease,0.1
121,Digestive diseases,Gallbladder and biliary diseases,0.6
122,Digestive diseases,Pancreatitis,0.7
123,Digestive diseases,Other digestive diseases,6.3
124,Noncommunicable diseases,Genitourinary diseases,10.5
126,Genitourinary diseases,Kidney diseases,9.4
127,Genitourinary diseases,Benign prostatic hyperplasia,0.1
128,Genitourinary diseases,Urolithiasis,0.0
129,Genitourinary diseases,Other urinary diseases,1.0
130,Genitourinary diseases,Infertility,0.0
131,Genitourinary diseases,Gynecological diseases,0.0
132,Noncommunicable diseases,Skin diseases,0.5
134,Noncommunicable diseases,Musculoskeletal diseases,0.6
136,Musculoskeletal diseases,Rheumatoid arthritis,0.1
137,Musculoskeletal diseases,Osteoarthritis,0.0
138,Musculoskeletal diseases,Gout,0.0
139,Musculoskeletal diseases,Back and neck pain,0.0
140,Musculoskeletal diseases,Other musculoskeletal disorders,0.4
141,Noncommunicable diseases,Congenital anomalies,3.7
143,Congenital anomalies,Neural tube defects,0.4
144,Congenital anomalies,Cleft lip and cleft palate,0.0
145,Congenital anomalies,Down syndrome,0.2
146,Congenital anomalies,Congenital heart anomalies,1.6
147,Congenital anomalies,Other chromosomal anomalies,0.1
148,Congenital anomalies,Other congenital anomalies,1.5
149,Noncommunicable diseases,Oral conditions,0.0
151,Noncommunicable diseases,Sudden infant death syndrome,0.5
154,Injuries,Unintentional injuries,13.2
156,Unintentional injuries,Road injury,4.2
157,Unintentional injuries,Poisonings,0.2
158,Unintentional injuries,Falls,0.4
159,Unintentional injuries,"Fire, heat and hot substances",0.5
160,Unintentional injuries,Drowning,0.9
161,Unintentional injuries,Exposure to mechanical forces,0.5
162,Unintentional injuries,Natural disasters,0.0
163,Unintentional injuries,Other unintentional injuries,6.6
164,Injuries,Intentional injuries,6.1
166,Intentional injuries,Self-harm,3.4
167,Intentional injuries,Interpersonal violence,2.7
