,Zimbabwe,source,target,value
0,Afghanistan,All Causes,"Communicable, maternal, perinatal and nutritional conditions",148.0
1,Afghanistan,All Causes,Noncommunicable diseases,79.2
2,Afghanistan,All Causes,Injuries,20.2
4,Afghanistan,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,70.3
5,Afghanistan,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,24.8
6,Afghanistan,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,8.5
7,Afghanistan,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,43.1
8,Afghanistan,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,1.3
10,Afghanistan,Noncommunicable diseases,Malignant neoplasms,8.4
11,Afghanistan,Noncommunicable diseases,Other neoplasms,0.0
12,Afghanistan,Noncommunicable diseases,Diabetes mellitus,2.1
13,Afghanistan,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.8
14,Afghanistan,Noncommunicable diseases,Mental and substance use disorders,0.2
15,Afghanistan,Noncommunicable diseases,Neurological conditions,2.1
16,Afghanistan,Noncommunicable diseases,Sense organ diseases,0.0
17,Afghanistan,Noncommunicable diseases,Cardiovascular diseases,44.7
18,Afghanistan,Noncommunicable diseases,Respiratory diseases,6.1
19,Afghanistan,Noncommunicable diseases,Digestive diseases,5.5
20,Afghanistan,Noncommunicable diseases,Genitourinary diseases,3.6
21,Afghanistan,Noncommunicable diseases,Skin diseases,0.0
22,Afghanistan,Noncommunicable diseases,Musculoskeletal diseases,0.1
23,Afghanistan,Noncommunicable diseases,Congenital anomalies,5.0
24,Afghanistan,Noncommunicable diseases,Oral conditions,0.0
25,Afghanistan,Noncommunicable diseases,Sudden infant death syndrome,0.6
27,Afghanistan,Injuries,Unintentional injuries,11.3
28,Afghanistan,Injuries,Intentional injuries,9.0
29,Albania,All Causes,"Communicable, maternal, perinatal and nutritional conditions",1.6
30,Albania,All Causes,Noncommunicable diseases,16.5
31,Albania,All Causes,Injuries,1.5
33,Albania,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.2
34,Albania,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.8
35,Albania,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
36,Albania,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.5
