,Zimbabwe,source,target,value
0,Afghanistan,All Causes,"Communicable, maternal, perinatal and nutritional conditions",148.0
1,Afghanistan,All Causes,Noncommunicable diseases,79.2
2,Afghanistan,All Causes,Injuries,20.2
5,Afghanistan,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,70.3
7,Afghanistan,Infectious and parasitic diseases,Tuberculosis,14.1
8,Afghanistan,Infectious and parasitic diseases,STDs excluding HIV,0.1
9,Afghanistan,Infectious and parasitic diseases,HIV/AIDS,0.1
10,Afghanistan,Infectious and parasitic diseases,Diarrhoeal diseases,14.7
11,Afghanistan,Infectious and parasitic diseases,Childhood-cluster diseases,26.9
12,Afghanistan,Infectious and parasitic diseases,Meningitis,5.7
13,Afghanistan,Infectious and parasitic diseases,Encephalitis,0.8
14,Afghanistan,Infectious and parasitic diseases,Hepatitis,3.4
15,Afghanistan,Infectious and parasitic diseases,Parasitic and vector diseases,2.3
16,Afghanistan,Infectious and parasitic diseases,Intestinal nematode infections,0.0
17,Afghanistan,Infectious and parasitic diseases,Leprosy,0.0
18,Afghanistan,Infectious and parasitic diseases,Other infectious diseases,2.2
19,Afghanistan,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,24.8
21,Afghanistan,Respiratory Infectious ,Lower respiratory infections,24.8
22,Afghanistan,Respiratory Infectious ,Upper respiratory infections,0.0
23,Afghanistan,Respiratory Infectious ,Otitis media,0.0
24,Afghanistan,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,8.5
26,Afghanistan,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,43.1
28,Afghanistan,Neonatal conditions,Preterm birth complications,17.9
29,Afghanistan,Neonatal conditions,Birth asphyxia and birth trauma,16.7
30,Afghanistan,Neonatal conditions,Neonatal sepsis and infections,5.0
31,Afghanistan,Neonatal conditions,Other neonatal conditions,3.4
32,Afghanistan,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,1.3
34,Afghanistan,Nutritional deficiencies,Protein-energy malnutrition,1.3
35,Afghanistan,Nutritional deficiencies,Iodine deficiency,0.0
36,Afghanistan,Nutritional deficiencies,Vitamin A deficiency,0.0
37,Afghanistan,Nutritional deficiencies,Iron-deficiency anaemia,0.0
38,Afghanistan,Nutritional deficiencies,Other nutritional deficiencies,0.0
40,Afghanistan,Noncommunicable diseases,Malignant neoplasms,8.4
